Potential Energy , -582.868 , Kinetic Energy , 321.545 , Total Energy , -261.323
Potential Energy , -582.845 , Kinetic Energy , 321.585 , Total Energy , -261.26
Potential Energy , -582.816 , Kinetic Energy , 321.62 , Total Energy , -261.196
Potential Energy , -582.781 , Kinetic Energy , 321.649 , Total Energy , -261.132
Potential Energy , -582.74 , Kinetic Energy , 321.672 , Total Energy , -261.069
Potential Energy , -582.693 , Kinetic Energy , 321.688 , Total Energy , -261.005
Potential Energy , -582.64 , Kinetic Energy , 321.699 , Total Energy , -260.941
Potential Energy , -582.581 , Kinetic Energy , 321.704 , Total Energy , -260.878
Potential Energy , -582.517 , Kinetic Energy , 321.702 , Total Energy , -260.814
Potential Energy , -582.446 , Kinetic Energy , 321.695 , Total Energy , -260.751
Potential Energy , -582.369 , Kinetic Energy , 321.682 , Total Energy , -260.687
Potential Energy , -582.286 , Kinetic Energy , 321.662 , Total Energy , -260.624
Potential Energy , -582.197 , Kinetic Energy , 321.637 , Total Energy , -260.56
Potential Energy , -582.102 , Kinetic Energy , 321.606 , Total Energy , -260.497
Potential Energy , -582.002 , Kinetic Energy , 321.568 , Total Energy , -260.433
Potential Energy , -581.895 , Kinetic Energy , 321.525 , Total Energy , -260.37
Potential Energy , -581.782 , Kinetic Energy , 321.476 , Total Energy , -260.307
Potential Energy , -581.664 , Kinetic Energy , 321.42 , Total Energy , -260.243
Potential Energy , -581.539 , Kinetic Energy , 321.359 , Total Energy , -260.18
Potential Energy , -581.409 , Kinetic Energy , 321.292 , Total Energy , -260.117
Potential Energy , -581.272 , Kinetic Energy , 321.218 , Total Energy , -260.054
Potential Energy , -581.13 , Kinetic Energy , 321.139 , Total Energy , -259.991
Potential Energy , -580.982 , Kinetic Energy , 321.054 , Total Energy , -259.928
Potential Energy , -580.828 , Kinetic Energy , 320.963 , Total Energy , -259.865
Potential Energy , -580.668 , Kinetic Energy , 320.866 , Total Energy , -259.802
Potential Energy , -580.503 , Kinetic Energy , 320.763 , Total Energy , -259.74
Potential Energy , -580.331 , Kinetic Energy , 320.654 , Total Energy , -259.677
Potential Energy , -580.154 , Kinetic Energy , 320.54 , Total Energy , -259.614
Potential Energy , -579.971 , Kinetic Energy , 320.419 , Total Energy , -259.552
Potential Energy , -579.783 , Kinetic Energy , 320.293 , Total Energy , -259.49
Potential Energy , -579.588 , Kinetic Energy , 320.161 , Total Energy , -259.427
Potential Energy , -579.388 , Kinetic Energy , 320.023 , Total Energy , -259.365
Potential Energy , -579.183 , Kinetic Energy , 319.88 , Total Energy , -259.303
Potential Energy , -578.971 , Kinetic Energy , 319.73 , Total Energy , -259.241
Potential Energy , -578.755 , Kinetic Energy , 319.575 , Total Energy , -259.179
Potential Energy , -578.532 , Kinetic Energy , 319.414 , Total Energy , -259.118
Potential Energy , -578.304 , Kinetic Energy , 319.248 , Total Energy , -259.056
Potential Energy , -578.071 , Kinetic Energy , 319.076 , Total Energy , -258.994
